day,category,primary_run,resume_run,team_log
1,basic,runs/dogfood-30/2026-04-03T21-27-27,,
2,basic,runs/dogfood-30/2026-04-03T21-27-28,,
3,basic,runs/dogfood-30/2026-04-03T21-27-28-01,,
4,basic,runs/dogfood-30/2026-04-03T21-27-29,,
5,basic,runs/dogfood-30/2026-04-03T21-27-30,,
6,basic,runs/dogfood-30/2026-04-03T21-27-30-01,,
7,basic,runs/dogfood-30/2026-04-03T21-27-31,,
8,basic,runs/dogfood-30/2026-04-03T21-27-32,,
9,basic,runs/dogfood-30/2026-04-03T21-27-32-01,,
10,basic,runs/dogfood-30/2026-04-03T21-27-33,,
11,basic,runs/dogfood-30/2026-04-03T21-27-33-01,,
12,basic,runs/dogfood-30/2026-04-03T21-27-34,,
13,basic,runs/dogfood-30/2026-04-03T21-27-35,,
14,basic,runs/dogfood-30/2026-04-03T21-27-35-01,,
15,basic,runs/dogfood-30/2026-04-03T21-27-36,,
16,basic,runs/dogfood-30/2026-04-03T21-27-37,,
17,basic,runs/dogfood-30/2026-04-03T21-27-37-01,,
18,basic,runs/dogfood-30/2026-04-03T21-27-38,,
19,basic,runs/dogfood-30/2026-04-03T21-27-38-01,,
20,basic,runs/dogfood-30/2026-04-03T21-27-39,,
21,computer_use,runs/dogfood-30/2026-04-03T21-27-41,,
22,computer_use,runs/dogfood-30/2026-04-03T21-27-42,,
23,computer_use,runs/dogfood-30/2026-04-03T21-27-44,,
24,computer_use,runs/dogfood-30/2026-04-03T21-27-45,,
25,computer_use,runs/dogfood-30/2026-04-03T21-27-46,,
26,recovery,runs/dogfood-30/2026-04-03T21-30-10,runs/dogfood-30/2026-04-03T21-30-11-resume-01,
27,recovery,runs/dogfood-30/2026-04-03T21-30-12,runs/dogfood-30/2026-04-03T21-30-12-resume-01,
28,recovery,runs/dogfood-30/2026-04-03T21-30-13,runs/dogfood-30/2026-04-03T21-30-14-resume-01,
29,recovery,runs/dogfood-30/2026-04-03T21-30-14,runs/dogfood-30/2026-04-03T21-30-15-resume-01,
30,recovery,runs/dogfood-30/2026-04-03T21-30-16,runs/dogfood-30/2026-04-03T21-30-16-resume-01,
